import time: self [us] | cumulative | imported package
import time:        71 |         71 |   _io
import time:        13 |         13 |   marshal
import time:       138 |        138 |   posix
import time:       161 |        382 | _frozen_importlib_external
import time:       475 |        475 |   time
import time:        59 |        534 | zipimport
import time:        24 |         24 |     _codecs
import time:       155 |        179 |   codecs
import time:       774 |        774 |   encodings.aliases
import time:      1670 |       2623 | encodings
import time:       370 |        370 | encodings.utf_8
import time:        36 |         36 | _signal
import time:        10 |         10 |     _abc
import time:        56 |         66 |   abc
import time:        71 |        137 | io
import time:        18 |         18 |       _stat
import time:        23 |         41 |     stat
import time:       340 |        340 |     _collections_abc
import time:        12 |         12 |       genericpath
import time:        23 |         35 |     posixpath
import time:       127 |        541 |   os
import time:        27 |         27 |   _sitebuiltins
import time:       728 |        728 |   _distutils_hack
import time:        28 |         28 |   sitecustomize
import time:       660 |       1983 | site
import time:        71 |         71 |         itertools
import time:       346 |        346 |         keyword
import time:        29 |         29 |           _operator
import time:       383 |        411 |         operator
import time:       383 |        383 |         reprlib
import time:        28 |         28 |         _collections
import time:       778 |       2014 |       collections
import time:       561 |        561 |       collections.abc
import time:       337 |        337 |         concurrent
import time:       487 |        487 |                 types
import time:        85 |         85 |                   _functools
import time:       555 |        640 |                 functools
import time:      1489 |       2615 |               enum
import time:        30 |         30 |                 _sre
import time:       315 |        315 |                   re._constants
import time:       339 |        654 |                 re._parser
import time:       190 |        190 |                 re._casefix
import time:       742 |       1615 |               re._compiler
import time:       344 |        344 |               copyreg
import time:       562 |       5134 |             re
import time:       251 |        251 |                   token
import time:       760 |       1010 |                 tokenize
import time:       360 |       1370 |               linecache
import time:       732 |        732 |               textwrap
import time:       532 |        532 |               contextlib
import time:       529 |       3162 |             traceback
import time:       458 |        458 |             warnings
import time:       257 |        257 |               _weakrefset
import time:       492 |        748 |             weakref
import time:        12 |         12 |               _string
import time:       558 |        569 |             string
import time:       560 |        560 |             threading
import time:        14 |         14 |             atexit
import time:      1140 |      11782 |           logging
import time:       536 |      12318 |         concurrent.futures._base
import time:       927 |      13580 |       concurrent.futures
